nomdd_mdd.lo.m,nomdd_mdd.lo.f,nomdd_mdd.hi.m,nomdd_mdd.hi.f,mdd_nomdd.lo.m,mdd_nomdd.lo.f,mdd_nomdd.hi.m,mdd_nomdd.hi.f
1.010443864,1.289817232,0.409921671,0.527415144,17.11231593,19.03992167,18.65013055,20.35770235
0.88772846,1.135770235,0.360313316,0.462140992,19.92681462,21.41688251,21.1227154,22.37859008
0.838120104,1.070496084,0.339425587,0.436031332,14.6618094,16.82950914,16.37859008,18.39425587
0.691906005,0.885117493,0.279373368,0.35770235,19.09440992,20.73090601,20.4073107,21.80678851
0.621409922,0.796344648,0.250652742,0.321148825,17.77879112,19.61782245,19.24804178,20.85900783
0.597911227,0.767624021,0.240208877,0.310704961,18.663,20.36992167,20.02872063,21.50130548
0.566579634,0.72845953,0.227154047,0.295039164,17.56232637,19.43117755,19.05483029,20.69712794
0.493472585,0.634464752,0.19843342,0.255874674,17.48148042,19.36121149,18.98172324,20.63707572
0.446475196,0.574412533,0.180156658,0.229765013,17.78724543,19.62506527,19.25587467,20.86422977
0.190600522,0.245430809,0.075718016,0.096605744,20.73301567,22.06820366,21.80939948,22.91644909
