nomdd_mdd.lo.m,nomdd_mdd.lo.f,nomdd_mdd.hi.m,nomdd_mdd.hi.f,mdd_nomdd.lo.m,mdd_nomdd.lo.f,mdd_nomdd.hi.m,mdd_nomdd.hi.f
0.80156658,1.026109661,0.409921671,0.527415144,17.61937076,19.48042298,18.65013055,20.35770235
0.702349869,0.90078329,0.360313316,0.462140992,20.32878068,21.74320627,21.1227154,22.37859008
0.663185379,0.848563969,0.339425587,0.436031332,15.2192376,17.34446997,16.37859008,18.39425587
0.545691906,0.702349869,0.279373368,0.35770235,19.5326658,21.09378851,20.4073107,21.80678851
0.490861619,0.631853786,0.250652742,0.321148825,18.26560574,20.03389556,19.24804178,20.85900783
0.472584856,0.605744125,0.240208877,0.310704961,19.1184752,20.75097389,20.02872063,21.50130548
0.449086162,0.577023499,0.227154047,0.295039164,18.05607311,19.85542037,19.05483029,20.69712794
0.389033943,0.501305483,0.19843342,0.255874674,17.97769974,19.78841775,18.98172324,20.63707572
0.352480418,0.454308094,0.180156658,0.229765013,18.27381984,20.04086423,19.25587467,20.86422977
0.148825065,0.193211488,0.075718016,0.096605744,21.09588512,22.3572846,21.80939948,22.91644909
