nomdd_mdd.lo.m,nomdd_mdd.lo.f,nomdd_mdd.hi.m,nomdd_mdd.hi.f,mdd_nomdd.lo.m,mdd_nomdd.lo.f,mdd_nomdd.hi.m,mdd_nomdd.hi.f
3.175653646,3.199023438,1.324632813,1.335171875,10.97663731,13.85161658,12.20010104,15.07199482
4.431809896,4.462648438,1.909744792,1.924588542,17.67589896,19.9605285,18.70991969,20.79076943
3.710197917,3.73690625,1.568960938,1.58134375,11.53926684,14.42042228,12.77220207,15.62628497
3.268096354,3.292091146,1.366377604,1.37725,15.83727202,18.41632642,16.98588083,19.39183161
3.084041667,3.106885417,1.283408854,1.293666667,15.21676166,17.87432124,16.39387047,18.89367358
3.402096354,3.426921875,1.427299479,1.438625,14.13886269,16.90573316,15.35269948,17.99395855
2.791114583,2.812041667,1.15290625,1.162164063,13.80360881,16.59752073,15.02530311,17.70469689
2.979395833,3.0015625,1.236557292,1.246455729,15.93279016,18.49890155,17.07699741,19.46782902
2.489210938,2.508138021,1.020424479,1.028669271,14.96160881,17.64808031,16.14897409,18.68472798
1.2208125,1.230591146,0.485049479,0.489052083,13.86607254,16.65504404,15.08650518,17.75889896
