nomdd_mdd.lo.m,nomdd_mdd.lo.f,nomdd_mdd.hi.m,nomdd_mdd.hi.f,mdd_nomdd.lo.m,mdd_nomdd.lo.f,mdd_nomdd.hi.m,mdd_nomdd.hi.f
3.010494792,3.0328125,1.324632813,1.335171875,11.80485492,14.68276943,12.20010104,15.07199482
4.213229167,4.242846354,1.909744792,1.924588542,18.3868601,20.53415803,18.70991969,20.79076943
3.521356771,3.546924479,1.568960938,1.58134375,12.37489378,15.24268135,12.77220207,15.62628497
3.098648438,3.121572917,1.366377604,1.37725,16.62339119,19.08760622,16.98588083,19.39183161
2.922945313,2.944752604,1.283408854,1.293666667,16.02119171,18.57482383,16.39387047,18.89367358
3.226729167,3.250460938,1.427299479,1.438625,14.96635492,17.65195337,15.35269948,17.99395855
2.643541667,2.663494792,1.15290625,1.162164063,14.63594819,17.35646891,15.02530311,17.70469689
2.823049479,2.844197917,1.236557292,1.246455729,16.71606736,19.16577979,17.07699741,19.46782902
2.355992188,2.374010417,1.020424479,1.028669271,15.77265026,18.36023834,16.14897409,18.68472798
1.152179688,1.1614375,0.485049479,0.489052083,14.69779016,17.41210363,15.08650518,17.75889896
