nomdd_mdd.lo.m,nomdd_mdd.lo.f,nomdd_mdd.hi.m,nomdd_mdd.hi.f,mdd_nomdd.lo.m,mdd_nomdd.lo.f,mdd_nomdd.hi.m,mdd_nomdd.hi.f
2.605721354,2.625380208,1.324632813,1.335171875,11.7435544,14.62166839,12.20010104,15.07199482
3.672622396,3.699080729,1.909744792,1.924588542,18.3354715,20.49311917,18.70991969,20.79076943
3.05715625,3.079815104,1.568960938,1.58134375,12.31307513,15.18235492,12.77220207,15.62628497
2.683526042,2.703739583,1.366377604,1.37725,16.56601813,19.03906477,16.98588083,19.39183161
2.52875,2.547940104,1.283408854,1.293666667,15.96232124,18.52400259,16.39387047,18.89367358
2.796518229,2.817476563,1.427299479,1.438625,14.9056399,17.59772798,15.35269948,17.99395855
2.283315104,2.300815104,1.15290625,1.162164063,14.57481088,17.30126166,15.02530311,17.70469689
2.440940104,2.459528646,1.236557292,1.246455729,16.65892487,19.1175829,17.07699741,19.46782902
2.031570313,2.047322917,1.020424479,1.028669271,15.71327979,18.30858808,16.14897409,18.68472798
0.986601563,0.994583333,0.485049479,0.489052083,14.63676684,17.35719689,15.08650518,17.75889896
