nomdd_mdd.lo.m,nomdd_mdd.lo.f,nomdd_mdd.hi.m,nomdd_mdd.hi.f,mdd_nomdd.lo.m,mdd_nomdd.lo.f,mdd_nomdd.hi.m,mdd_nomdd.hi.f
3.05965625,3.082294271,1.324632813,1.335171875,10.73633161,13.60556477,12.20010104,15.07199482
4.278664063,4.308658854,1.909744792,1.924588542,17.46026425,19.78408808,18.70991969,20.79076943
3.577947917,3.603867188,1.568960938,1.58134375,11.29573834,14.1760829,12.77220207,15.62628497
3.149369792,3.172622396,1.366377604,1.37725,15.60147409,18.21158549,16.98588083,19.39183161
2.971119792,2.993244792,1.283408854,1.293666667,14.97642746,17.66135492,16.39387047,18.89367358
3.279171875,3.303239583,1.427299479,1.438625,13.89346632,16.68040155,15.35269948,17.99395855
2.687664063,2.707916667,1.15290625,1.162164063,13.55732902,16.36881347,15.02530311,17.70469689
2.869854167,2.891315104,1.236557292,1.246455729,15.69777461,18.29552073,17.07699741,19.46782902
2.395822917,2.414119792,1.020424479,1.028669271,14.71976425,17.4319715,16.14897409,18.68472798
1.172627604,1.182044271,0.485049479,0.489052083,13.61994819,16.42704145,15.08650518,17.75889896
