nomdd_mdd.lo.m,nomdd_mdd.lo.f,nomdd_mdd.hi.m,nomdd_mdd.hi.f,mdd_nomdd.lo.m,mdd_nomdd.lo.f,mdd_nomdd.hi.m,mdd_nomdd.hi.f
2.857140625,2.878450521,1.324632813,1.335171875,11.15765544,14.03543782,12.20010104,15.07199482
4.009338542,4.037773438,1.909744792,1.924588542,17.83551036,20.09041969,18.70991969,20.79076943
3.345851563,3.370322917,1.568960938,1.58134375,11.72237047,14.6026658,12.77220207,15.62628497
2.941455729,2.963356771,1.366377604,1.37725,16.01252591,18.56748187,16.98588083,19.39183161
2.773549479,2.794364583,1.283408854,1.293666667,15.39564767,18.03171762,16.39387047,18.89367358
3.063869792,3.086554688,1.427299479,1.438625,14.32207254,17.07274611,15.35269948,17.99395855
2.506898438,2.525919271,1.15290625,1.162164063,13.98764249,16.76717617,15.02530311,17.70469689
2.678221354,2.698401042,1.236557292,1.246455729,16.10739896,18.649,17.07699741,19.46782902
2.232791667,2.249947917,1.020424479,1.028669271,15.14176425,17.80792746,16.14897409,18.68472798
1.089007813,1.097776042,0.485049479,0.489052083,14.04997668,16.82423057,15.08650518,17.75889896
