nomdd_mdd.lo.m,nomdd_mdd.lo.f,nomdd_mdd.hi.m,nomdd_mdd.hi.f,mdd_nomdd.lo.m,mdd_nomdd.lo.f,mdd_nomdd.hi.m,mdd_nomdd.hi.f
1.018276762,1.297650131,0.409921671,0.527415144,16.44386423,18.45118016,18.65013055,20.35770235
0.892950392,1.143603133,0.360313316,0.462140992,19.38642298,20.97309138,21.1227154,22.37859008
0.843342037,1.078328982,0.339425587,0.436031332,13.93994778,16.15274413,16.37859008,18.39425587
0.694516971,0.890339426,0.279373368,0.35770235,18.50913838,20.24027154,20.4073107,21.80678851
0.624020888,0.80156658,0.250652742,0.321148825,17.13577023,19.05957702,19.24804178,20.85900783
0.600522193,0.770234987,0.240208877,0.310704961,18.05744125,19.85572846,20.02872063,21.50130548
0.571801567,0.733681462,0.227154047,0.295039164,16.91122715,18.86287728,19.05483029,20.69712794
0.496083551,0.637075718,0.19843342,0.255874674,16.82506527,18.78921932,18.98172324,20.63707572
0.449086162,0.577023499,0.180156658,0.229765013,17.14360313,19.06728982,19.25587467,20.86422977
0.190600522,0.245430809,0.075718016,0.096605744,20.24281984,21.67355875,21.80939948,22.91644909
