nomdd_mdd.lo.m,nomdd_mdd.lo.f,nomdd_mdd.hi.m,nomdd_mdd.hi.f,mdd_nomdd.lo.m,mdd_nomdd.lo.f,mdd_nomdd.hi.m,mdd_nomdd.hi.f
0.958224543,1.221932115,0.409921671,0.527415144,17.24486945,19.15573368,18.65013055,20.35770235
0.84073107,1.075718016,0.360313316,0.462140992,20.03311227,21.50351175,21.1227154,22.37859008
0.793733681,1.015665796,0.339425587,0.436031332,14.80628982,16.96398695,16.37859008,18.39425587
0.652741514,0.838120104,0.279373368,0.35770235,19.21033943,20.82742298,20.4073107,21.80678851
0.587467363,0.754569191,0.250652742,0.321148825,17.90644648,19.72753525,19.24804178,20.85900783
0.566579634,0.725848564,0.240208877,0.310704961,18.7827624,20.47058747,20.02872063,21.50130548
0.537859008,0.689295039,0.227154047,0.295039164,17.69178068,19.54307833,19.05483029,20.69712794
0.467362924,0.600522193,0.19843342,0.255874674,17.61161358,19.47394256,18.98172324,20.63707572
0.422976501,0.54308094,0.180156658,0.229765013,17.91488773,19.73475979,19.25587467,20.86422977
0.180156658,0.232375979,0.075718016,0.096605744,20.82955875,22.14539948,21.80939948,22.91644909
